batch;occurrences;CDSBP;Complex Class;Divergent Change;Feature Envy;God Class;Lazy Class;Long Method;Long Par. List;Message Chain;Refused Bequest;Shotgun Surgery;Spaghetti Code;Spec. Generality
Extract superclass, Push Down Attribute, Push down method;1;;;;;1;;;;;;;;
Move Attribute;47;7;12;;;15;13;;;;4;;2;5
Extract method;419;;22;122;244;2;1;98;7;29;;188;4;
Extract superclass, Inline method, Move method;1;;;;1;;;;;;;;;
Extract method, Push down method;3;;1;1;3;;;1;;;;2;;
Extract method, Inline method, Move Attribute;2;;1;2;1;1;;;;;;1;1;
Move method, Pull Up Attribute, Pull up method;1;;;;;1;;;;;;;;
Inline method, Move Attribute;6;;;;4;2;1;;1;1;;;;
Extract interface, Extract method;1;;;1;;;;1;;;;1;;
Rename method;5;;;4;;;;;;;;1;;
Pull Up Attribute, Pull up method;6;;;;;1;;;;;5;;1;
Inline method;149;;2;71;124;4;;15;13;6;;51;;
Inline method, Move Attribute, Move method;3;;;2;3;;;;;;;2;;
Extract method, Inline method, Move method;1;;;;1;;;;;1;;;;
Extract interface, Extract method, Move method;1;;;;1;;;;;;;1;;
Move Attribute, Pull Up Attribute, Pull up method;2;;1;;;;;;;;1;;1;
Inline method, Move method;2;;;1;1;;;1;;;;2;;
Extract method, Pull up method;1;;;;1;;;;;;;1;;
Inline method, Move Attribute, Pull Up Attribute, Pull up method;1;;;;1;;;;;;;;;
Push down method;2;;;;;1;1;;;;;;;
Extract method, Move method, Pull up method;1;;;;;;;;;;1;;;
Pull Up Attribute;4;;;;;1;1;;;;;;1;1
Inline method, Push down method;3;;;1;2;;;;;;;;;
Extract superclass;1;;;;;1;;;;;;;;
Extract method, Move Attribute;12;1;;3;2;1;1;3;;;;7;;
Extract method, Pull Up Attribute, Pull up method;1;;;;;1;;;;;;;;
Extract superclass, Move Attribute, Move method;2;;1;;;;1;;;;;;;
Move method, Pull up method;2;;;;;1;;;;;1;;;
Move Attribute, Push Down Attribute;8;;;;;7;1;;;;;;;
Move Attribute, Move method;28;1;1;;;9;8;;;;2;;;11
Move Attribute, Pull Up Attribute;1;;;;;1;;;;;;;;
Extract method, Inline method;124;;2;71;114;1;;25;28;2;;60;4;
Move method;31;;8;;;19;2;;;;10;;2;
Pull up method;10;;;;;4;1;;;;3;;2;
Extract superclass, Push down method;1;;;;;;;;;;;;;1
Move Attribute, Move method, Push Down Attribute, Push down method;1;;;;;;;;;;;;;1
Extract method, Move method;9;;;1;3;1;2;2;;1;1;1;;
Extract method, Move method, Push Down Attribute, Push down method;1;;;;;1;;;;;;;;
Extract method, Extract superclass;2;;;;2;;;;;;;1;;
Push Down Attribute;1;;;;;;1;;;;;;;
Extract method, Move Attribute, Move method;2;;;1;1;;;;;1;;2;;
Move method, Push Down Attribute;1;;;;;;;;;;;;;1
