batch,BrainClass,BrainMethod,ClassDataShouldBePrivate,ComplexClass,DataClass,DispersedCoupling,FeatureEnvy,GodClass,IntensiveCoupling,LazyClass,LongMethod,LongParameterList,MessageChain,RefusedBequest,ShotgunSurgery,SpaghettiCode,SpeculativeGenerality
"[u'Extract Method,Rename Method']",,,,,,,0.15384615384615385,,,,,,,,,,
[u'Rename Method'],,,,,,,0.23302107728337237,,,,,,0.23302107728337237,,,,
[u'Move Method'],,,,,,,,,,,,,,,,,
[u'Pull Up Attribute'],,,,,,,,,,,,,,,,,0.1590909090909091
[u'Pull Up Method'],,,,,,,,,,,,,,,,,
[u'Inline Method'],,,,,,,,,,,,,,,,,
"[u'Move Attribute,Move Method']",,,,,,,,,,,,,,,,,
"[u'Pull Up Attribute,Pull Up Method']",,,,,,,,,,,,,,,,,
[u'Move Attribute'],,,,,,,,,,,,,,,,,
"[u'Extract Method,Move Attribute']",,,,0.11475409836065574,,,0.36065573770491804,,,,0.13114754098360656,,,,,,
[u'Extract Method'],,,,,,,,,,,,,,,,,
"[u'Extract Method,Inline Method']",,,,,,,0.11515151515151516,,,,0.11212121212121212,,,,,,
